Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:09:38.292000,BOR,5,0 days 00:01:39.136000,6,2,,,False,HARD,5,True,Kick Sauber,19,99.136,35.0,27.3,18.0,1.2
0 days 01:10:28.009000,PIA,81,0 days 00:01:37.898000,7,1,,,False,MEDIUM,7,True,McLaren,1,97.898,35.3,27.4,18.0,2.1
0 days 01:10:29.346000,NOR,4,0 days 00:01:38.174000,7,1,,,False,MEDIUM,7,True,McLaren,2,98.174,35.3,27.4,18.0,2.1
0 days 01:10:31.012000,RUS,63,0 days 00:01:38.464000,7,1,,,False,MEDIUM,7,True,Mercedes,3,98.464,35.3,27.4,18.0,2.1
0 days 01:10:32.895000,HAM,44,0 days 00:01:38.866000,7,1,,,False,MEDIUM,7,True,Ferrari,4,98.866,35.3,27.4,18.0,2.1
0 days 01:10:33.781000,LEC,16,0 days 00:01:38.458000,7,1,,,False,MEDIUM,7,True,Ferrari,5,98.458,35.3,27.4,18.0,2.1
0 days 01:10:36.937000,VER,1,0 days 00:01:38.692000,7,1,,,False,MEDIUM,7,True,Red Bull Racing,6,98.692,35.3,27.4,18.0,2.1
0 days 01:10:38.457000,ANT,12,0 days 00:01:38.965000,7,1,,,False,MEDIUM,7,True,Mercedes,7,98.965,35.3,27.4,18.0,2.1
0 days 01:10:40.014000,TSU,22,0 days 00:01:38.893000,7,1,,,False,MEDIUM,7,True,Racing Bulls,8,98.893,35.3,27.4,18.0,2.1
0 days 01:10:41.316000,HAD,6,0 days 00:01:39.252000,7,1,,,False,MEDIUM,7,True,Racing Bulls,9,99.252,35.3,27.4,18.0,2.1
0 days 01:10:42.059000,OCO,31,0 days 00:01:39.181000,7,1,,,False,MEDIUM,7,True,Haas F1 Team,10,99.181,35.3,27.4,18.0,2.1
0 days 01:10:42.719000,ALB,23,0 days 00:01:39.091000,7,1,,,False,MEDIUM,7,True,Williams,11,99.091,35.3,27.4,18.0,2.1
0 days 01:10:43.553000,GAS,10,0 days 00:01:39.090000,7,1,,,False,MEDIUM,7,False,Alpine,12,99.09,35.3,27.4,18.0,2.1
0 days 01:10:44.386000,STR,18,0 days 00:01:39.039000,7,1,,,False,HARD,7,True,Aston Martin,13,99.039,35.3,27.4,18.0,2.1
0 days 01:10:45.232000,SAI,55,0 days 00:01:39.075000,7,1,,,False,MEDIUM,7,True,Williams,14,99.075,35.3,27.4,18.0,2.1
0 days 01:10:47.383000,BEA,87,0 days 00:01:39.493000,7,1,,,False,HARD,7,True,Haas F1 Team,15,99.493,35.3,27.4,18.0,2.1
0 days 01:10:48.198000,DOO,7,0 days 00:01:39.396000,7,1,,,False,MEDIUM,7,False,Alpine,16,99.396,35.3,27.4,18.0,2.1
0 days 01:10:49.117000,LAW,30,0 days 00:01:39.525000,7,1,,,False,HARD,7,True,Red Bull Racing,17,99.525,35.3,27.4,18.0,2.1
0 days 01:10:52.946000,HUL,27,0 days 00:01:39.922000,7,1,,,False,MEDIUM,7,True,Kick Sauber,18,99.922,35.3,27.4,18.0,2.1
